title,snippet,link
"GaN-based power devices: Physics, reliability, and perspectives","… GaN-based power devices: in the first part of the article, starting from a discussion of the main properties of the material, the characteristics of lateral and vertical GaN … of traps in GaN and …",https://iris.unimore.it/bitstream/11380/1255364/1/JAP21-TU-WBGM2022-03402.pdf
Image augmentations for gan training,"… real images and samples generated during GAN training. Through extensive experiments… GAN training, whereas augmenting both real and generated images consistently improve GAN …",https://arxiv.org/pdf/2006.02595
GaN transistors for efficient power conversion,"… learning curve in GaN technology advancements. Acknowledging that GaN transistors are not … a practical guide for understanding basic GaN transistor construction, characteristics, and …",https://epc-co.com/epc/Portals/0/epc/documents/presentations/IIC-2012.pdf
Actformer: A gan-based transformer towards general action-conditioned 3d human motion generation,"We present a GAN-based Transformer for general action-conditioned 3D human motion generation, including not only single-person actions but also multi-person interactive actions. …",http://openaccess.thecvf.com/content/ICCV2023/papers/Xu_ActFormer_A_GAN-based_Transformer_towards_General_Action-Conditioned_3D_Human_Motion_ICCV_2023_paper.pdf
Image processing using multi-code gan prior,"… ) in image synthesis, applying trained GAN models to real image … reconstruction enables the trained GAN models as prior to … -wise representation learned by GAN models and shed light …",https://openaccess.thecvf.com/content_CVPR_2020/papers/Gu_Image_Processing_Using_Multi-Code_GAN_Prior_CVPR_2020_paper.pdf
HiGAN+: handwriting imitation GAN with disentangled representations,"… To address the above challenges, in our previous conference work [Gan and Wang 2021], we have proposed a novel handwriting imitation GAN (HiGAN) for HI, which can generate …",https://dl.acm.org/doi/pdf/10.1145/3550070
On data augmentation for GAN training,"… using our proposed DAG aligns with the original GAN in minimizing the Jensen–Shannon (… DAG to different GAN models: unconditional GAN, conditional GAN, self-supervised GAN and …",https://arxiv.org/pdf/2006.05338
An accurate datasheet-based full-characteristics analytical model of GaN HEMTs for deadtime optimization,"… of GaN HEMTs, including circuit's parasitic inductances, the nonlinear capacitances, the unique reverse characteristics, etc. Taking a GaN… the high-frequency application of GaN HEMTs. …",https://www.researchgate.net/profile/Zhiyuan-Qi/publication/347610052_An_Accurate_Datasheet-Based_Full-Characteristics_Analytical_Model_of_GaN_HEMTs_for_Deadtime_Optimization/links/60442fe5a6fdcc9c781ad7c6/An-Accurate-Datasheet-Based-Full-Characteristics-Analytical-Model-of-GaN-HEMTs-for-Deadtime-Optimization.pdf
Deep reinforcement learning,"… This kind of task requires the so-called deep reinforcement learning (DRL), which is an indepth combination of artificial neural network (ANN) and reinforcement learning (RL). The “deep…",https://arxiv.org/pdf/1810.06339
Exploration in deep reinforcement learning: A survey,"… deep reinforcement learning. Note that this review is intended for beginners in exploration for deep reinforcement learning; … the paper, we will use ’reinforcement learning’ as it is a more …",https://arxiv.org/pdf/2205.00824
Deep reinforcement learning,"… Deep Reinforcement Learning. By combining the concepts from deep learning and Reinforcement Learning, … research in the field of Deep Reinforcement Learning, this book also covers …",https://www.researchgate.net/profile/Mohit-Sewak/publication/334079091_Deep_Reinforcement_Learning_Frontiers_of_Artificial_Intelligence/links/5ebd05c5299bf1c09abbdd5b/Deep-Reinforcement-Learning-Frontiers-of-Artificial-Intelligence.pdf
Deep reinforcement learning: a survey,… Road tracking using deep reinforcement learning for self-driving car applications. Int Conf … Deep reinforcement learning in a handful of trials using probabilistic dynamics models. Proc …,https://www.fitee.zjujournals.com/rc-pub/front/front-article/download/24331220/lowqualitypdf/%C3%A6%C2%B7%C2%B1%C3%A5%C2%BA%C2%A6%C3%A5%C2%BC%C2%BA%C3%A5%C5%92%E2%80%93%C3%A5%C2%AD%C2%A6%C3%A4%C2%B9%C2%A0%C3%A7%C2%BB%C2%BC%C3%A8%C2%BF%C2%B0.pdf
Deep reinforcement learning and its neuroscientific implications,"… computers, allowing scaling of supervised deep learning systems to much more interesting … , deep reinforcement learning (RL). As we will detail, deep RL brings deep learning together …",https://www.cell.com/neuron/pdf/S0896-6273(20)30468-2.pdf
Explainability in deep reinforcement learning,"… of Deep Reinforcement Learning … reinforcement learning (RL), has not been extensively studied. We review recent works in the direction to attain Explainable Reinforcement Learning (…",https://www.sciencedirect.com/science/article/am/pii/S0950705120308145
Applications of deep reinforcement learning in communications and networking: A survey,"… It can overcome the limitations of reinforcement learning, and thus open a new era for the development of reinforcement learning, namely Deep Reinforcement Learning (DRL). DRL …",https://arxiv.org/pdf/1810.07862
Multi-agent deep reinforcement learning: a survey,"… , multi-agent reinforcement learning gains rapid traction, and … deep reinforcement learning. We focus primarily on literature from recent years that combines deep reinforcement learning …",https://link.springer.com/content/pdf/10.1007/s10462-021-09996-w.pdf
Chainerrl: A deep reinforcement learning library,"… deep reinforcement learning (DRL) library built using Python and the Chainer deep learning … Keywords: reinforcement learning, deep reinforcement learning, reproducibility, open …",https://www.jmlr.org/papers/volume22/20-376/20-376.pdf
Deep reinforcement learning for autonomous driving: A survey,"… a powerful learning framework now capable of learning com… This review summarises deep reinforcement learning (DRL) … , imitation learning, inverse reinforcement learning that are …",https://arxiv.org/pdf/2002.00444
Deep reinforcement learning for power system applications: An overview,"… and response, is a machine learning method. It has become in… tion with deep learning, called deep reinforcement learning, … the application of deep reinforcement learning in power sys…",https://ieeexplore.ieee.org/iel7/7054730/9020217/08859593.pdf
Deep reinforcement learning in computer vision: a comprehensive survey,"… reinforcement learning. We then propose a categorization of deep reinforcement learning … In particular, we divide deep reinforcement learning into seven main categories according to …",https://arxiv.org/pdf/2108.11510
Suphx: Mastering mahjong with deep reinforcement learning,"… We design an AI for Mahjong, named Suphx, based on deep reinforcement learning with some newly introduced techniques including global reward prediction, oracle guiding, and run-…",https://arxiv.org/pdf/2003.13590
Drone deep reinforcement learning: A review,"… In this paper, we described the state of the art of one subset of these algorithms: the deep reinforcement learning (DRL) techniques. We made a detailed description of them, and we …",https://www.mdpi.com/2079-9292/10/9/999/pdf
Optimization of molecules via deep reinforcement learning,"… and reinforcement learning, which we call Molecule Deep Q-… employ the deep reinforcement learning technique of Deep Q-… of multi-objective deep reinforcement learning, our model is …",https://www.nature.com/articles/s41598-019-47148-x.pdf
Deep reinforcement learning for trading,… We adopt Deep Reinforcement Learning algorithms to design trading strategies for continuous futures contracts. Both discrete and continuous action spaces are considered and …,https://arxiv.org/pdf/1911.10107
Deep learning in image classification using residual network (ResNet) variants for detection of colorectal cancer,"… Based on the results of the implementation of the Deep Residual Network (ResNet) method … There are two ResNet architectural models, particularly ResNet-18 and ResNet-50, with …",https://www.sciencedirect.com/science/article/pii/S1877050921000284/pdf?md5=5486e43b489047004e08921def981006&pid=1-s2.0-S1877050921000284-main.pdf
Spiking deep residual networks,… residual network (ResNet) [24] to its spiking equivalent. ResNet is a cutting-edge convolutional neural network (CNN) architecture that allows a network to go extremely deep and has …,https://arxiv.org/pdf/1805.01352
Improved residual networks for image and video recognition,… Improved information flow through the network A residual network (ResNet) [5] is constructed by stacking together many residual building blocks (ResBlocks). An example of a residual …,https://arxiv.org/pdf/2004.04989
Dn-resnet: Efficient deep residual network for image denoising,… Residual Network (DN-ResNet) which is more efficient and accurate than prior art. DN-ResNet consists of residual blocks (ResBlock) which are gradually inserted into the network stage …,https://arxiv.org/pdf/1810.06766
Study of residual networks for image recognition,"… In this project, we designed ResNet models that can perform a simple image … of these ResNet models with their equivalent Convolutional Network (ConvNet) by removing the residual …",https://arxiv.org/pdf/1805.00325
Why resnet works? residuals generalize,"… article, we consider a neural network constructed by adding multiple residual connections to … neural networks with residual connections and provide a generalization bound for ResNet …",https://arxiv.org/pdf/1904.01367
Invertible residual networks,"… We show that standard ResNet architectures can be made invertible, allowing the same … to the Jacobian log-determinant of a residual block. Our empirical evaluation shows that …",http://proceedings.mlr.press/v97/behrmann19a/behrmann19a.pdf
Feature reuse residual networks for insect pest recognition,"… network (FR-ResNet) and evaluated the performance on IP102 benchmark dataset. The experimental results showed that FR-ResNet … residual networks, including ResNet, Pre-ResNet, …",https://ieeexplore.ieee.org/iel7/6287639/8600701/08819933.pdf
Norm-preservation: Why residual networks can become extremely deep?,"… Section 2, and to empirically demonstrate the behavior and effectiveness of the proposed modifications, we experimented with Residual Network (ResNet) and the proposed Procrustes …",https://arxiv.org/pdf/1805.07477
Deep residual learning for image recognition: A survey,"… In this survey, we will try to explain what Deep Residual Networks are, how they achieve their … In 2015, a new deep learning model known as a deep residual network (ResNet) was …",https://www.mdpi.com/2076-3417/12/18/8972/pdf
Residual networks as flows of diffeomorphisms,"… understanding and characterization of residual networks (ResNet), which … ResNet implementation. We further discuss the resulting theoretical and computational insights into ResNet …",https://hal.science/hal-01796729/document
Wider or deeper: Revisiting the resnet model for visual recognition,"… residual network into an exponentially wider one, and assorted the success of residual networks … on this topic, ie, the unravelled view of residual networks. Based on that, we try to find a …",https://www.researchgate.net/profile/Zifeng-Wu-2/publication/311222763_Wider_or_Deeper_Revisiting_the_ResNet_Model_for_Visual_Recognition/links/584127b108ae2d217560f418/Wider-or-Deeper-Revisiting-the-ResNet-Model-for-Visual-Recognition.pdf
Towards understanding the importance of shortcut connections in residual networks,"… Residual Network (ResNet) is undoubtedly a milestone in deep learning. ResNet is equipped … In this paper, we study a two-layer non-overlapping convolutional ResNet. Training such a …",https://proceedings.neurips.cc/paper_files/paper/2019/file/7716d0fc31636914783865d34f6cdfd5-Paper.pdf
Resnet-se: Channel attention-based deep residual network for complex activity recognition using wrist-worn wearable sensors,"… This study represents the first attempt at establishing a ResNet-based structure as a generic framework for complex action recognition. • A deep residual network, known as ResNet-SE, …",https://ieeexplore.ieee.org/iel7/6287639/6514899/09771436.pdf
Deep residual learning in spiking neural networks,"… can hardly implement residual learning. In this paper, we propose the spikeelement-wise (SEW) ResNet to realize residual learning in deep SNNs. We prove that the SEW ResNet can …",https://proceedings.neurips.cc/paper/2021/file/afe434653a898da20044041262b3ac74-Paper.pdf
Soft error resilience of deep residual networks for object recognition,"… Residual Networks (ResNet) are known with their depth (ie able to accept more … As ResNet is believed to be one of the best CNN models used in classification tasks. Moreover, ResNet …",https://ieeexplore.ieee.org/iel7/6287639/8948470/08963961.pdf
Why resnet works? residuals generalize,"… margin-based multiclass generalization bound is obtained for ResNet, as an exemplary … ResNet (see Lemma 4). Eventually, we provide a proof of the generalization bound for ResNet …",https://arxiv.org/pdf/1904.01367
Resnet strikes back: An improved training procedure in timm,"… paper, we focus on the vanilla ResNet-50 architecture2 as … of the ResNet-50 such as SE-ResNet-50 [20] or ResNet-50-… to be strong baselines for a vanilla ResNet-50 used at inference …",https://arxiv.org/pdf/2110.00476
"What can resnet learn efficiently, going beyond kernels?","… How can neural networks such as ResNet efficiently learn CIFAR-10 with test accuracy more … In the end, we also prove a computation complexity advantage of ResNet with respect to …",https://proceedings.neurips.cc/paper_files/paper/2019/file/5857d68cd9280bc98d079fa912fd6740-Paper.pdf
Inception and ResNet features are (almost) equivalent,"… ResNet, in terms of the properties they extract from images. We find that the properties extracted by Inception are very similar to the properties extracted by ResNet, … images by ResNet is …",https://www.sciencedirect.com/science/article/am/pii/S1389041719305066
Resnet or densenet? introducing dense shortcuts to resnet,"… For ResNet, the identity shortcut that stabilizes training might … Partially due to this, it is not a trivial choice between ResNet … philosophy of simple design in ResNet and DenseNet. On …",http://openaccess.thecvf.com/content/WACV2021/papers/Zhang_ResNet_or_DenseNet_Introducing_Dense_Shortcuts_to_ResNet_WACV_2021_paper.pdf
CO-ResNet: Optimized ResNet model for COVID-19 diagnosis from X-ray images,"… CO-ResNet is applied to a novel dataset of 5,935 X-ray … testing different epochs our CO-ResNet was optimized for detecting COVID-… Our proposed CO-ResNet obtains consistently best …",https://journals.sagepub.com/doi/pdf/10.3233/HIS-210008
Image classification based on RESNET,"… RESNET in an acceptable time, and compared several deep learning models, which proved that RESNET … show the inception RESNET modules used in inception RESNET V1 and the …",https://iopscience.iop.org/article/10.1088/1742-6596/1634/1/012110/pdf
Object detection based on VGG with ResNet network,… We implement ResNet network in VGG that minimize VGG networks training error and able … The output of conv6 passes through to improved ResNet network. The modified ResNet …,https://www.researchgate.net/profile/Foysal-Haque/publication/333232428_Object_Detection_Based_on_VGG_with_ResNet_Network/links/6077fea12fb9097c0ce570e9/Object-Detection-Based-on-VGG-with-ResNet-Network.pdf
Deep learning in image classification using residual network (ResNet) variants for detection of colorectal cancer,… seen that ResNet-50 has a higher level of accuracy than ResNet-18. The sensitivity value on the same data sets shows ResNet-18 has a minimum sensitivity value of 64% and Resnet-…,https://www.sciencedirect.com/science/article/pii/S1877050921000284/pdf?md5=5486e43b489047004e08921def981006&pid=1-s2.0-S1877050921000284-main.pdf
Covid-resnet: A deep learning framework for screening of covid19 from radiographs,… This work presents a 3-step technique to fine-tune a pre-trained ResNet-50 architecture to improve model performance and reduce training time – we call it COVID-ResNet. This is …,https://arxiv.org/pdf/2003.14395
Masked face recognition using resnet-50,"… In this paper, the authors train a ResNet-50 based architecture that performs well at recognizing masked faces. The outcome of this study could be seamlessly integrated into existing …",https://arxiv.org/pdf/2104.08997
Rrl: Resnet as representation for reinforcement learning,"… Is Resnet lucky? To investigate if architectural choice of Resnet is lucky, in Figure 6 we test … Not much degradation in performance is observed with respect to the Resnet model. This …",https://arxiv.org/pdf/2107.03380
COV19-CNNet and COV19-ResNet: diagnostic inference Engines for early detection of COVID-19,… We named these engines COV19-CNNet and COV19-ResNet. The former is based on convolutional neural network architecture; the latter is on residual neural network (ResNet) …,https://link.springer.com/content/pdf/10.1007/s12559-020-09795-5.pdf
Multiple feature reweight densenet for image classification,"… inter-layer feature reweight DenseNet (ILFR-DenseNet). In the last step, we designed the MFR-DenseNet by combining the CFR-DenseNet and the ILFR-DenseNet with an ensemble …",https://ieeexplore.ieee.org/iel7/6287639/8600701/08611344.pdf
Resnet or densenet? introducing dense shortcuts to resnet,"… Nonetheless, DenseNet requires heavy GPU memory due to concatenation … of DenseNet by 20% [37]. The main reason that DenseNet requires more training time is that DenseNet uses …",http://openaccess.thecvf.com/content/WACV2021/papers/Zhang_ResNet_or_DenseNet_Introducing_Dense_Shortcuts_to_ResNet_WACV_2021_paper.pdf
DenseNet convolutional neural networks application for predicting COVID-19 using CT image,"… Another feature of DenseNet is that it has a smaller set of parameters to be optimized than … Thus, DenseNet is less complicated. To acquire greater accuracy, we applied a DenseNet …",https://link.springer.com/content/pdf/10.1007/s42979-021-00782-7.pdf
Application of DenseNet in Camera Model Identification and Post-processing Detection.,"… In this paper, we present a DenseNet pipeline to solve the problem of identifying the source … We use this extended dataset to train a Neural Network with the DenseNet-201 architecture. …",https://openaccess.thecvf.com/content_CVPRW_2019/papers/Media%20Forensics/Rafi_Application_of_DenseNet_in_Camera_Model_Identification_and_Post-processing_Detection_CVPRW_2019_paper.pdf
An efficient densenet-based deep learning model for malware detection,… deep learning DenseNet model [14] enhanced with a class-balanced loss for reweighting the categorical cross-entropy loss. The proposed modification of the DenseNet model ensures …,https://www.mdpi.com/1099-4300/23/3/344/pdf
DenseNet-II: An improved deep convolutional neural network for melanoma cancer detection,"… The main motivation of this work is to develop DenseNet-II to make the process of diagnosis of melanoma quicker and more efficient which further reduces the application of CT scans, X-…",https://link.springer.com/content/pdf/10.1007/s00500-022-07406-z.pdf
COVID-DenseNet: A deep learning architecture to detect COVID-19 from chest radiology images,"… DenseNet-121 for disease prediction from radiology images of the ChestRadiology-14 … performance of DenseNet on radiology images (eg paper [7] and [8]), we used DenseNet-121 as …",https://www.academia.edu/download/102944248/download.pdf
FCN-based DenseNet framework for automated detection and classification of skin lesions in dermoscopy images,"… the second step is the classification of detected lesions with an FCN-based DenseNet system. In the … In the second step, we devised an FCN-based DenseNet framework which utilized a …",https://ieeexplore.ieee.org/iel7/6287639/6514899/09167192.pdf
Cancer image classification based on DenseNet model,"… In this paper, we design a novel DenseNet based model for metastatic cancer image classification. Our model employs DenseNet Block to effectively capture the important characteristic …",https://iopscience.iop.org/article/10.1088/1742-6596/1651/1/012143/pdf
Effective combination of DenseNet and BiLSTM for keyword spotting,"… to make DenseNet suitable for KWS, we propose a variant DenseNet, called DenseNet-… local features of DenseNet, we propose a method of combining DenseNet and BiLSTM to …",https://ieeexplore.ieee.org/iel7/6287639/8600701/08607038.pdf
Finger-vein recognition based on deep DenseNet using composite image,"… DenseNet in a known problem of finger-vein recognition, this study has the value as the first finger-vein recognition study using a deep DenseNet… overall structure of DenseNet-161 used …",https://ieeexplore.ieee.org/iel7/6287639/6514899/08721065.pdf
Improved YOLO-V3 with DenseNet for multi-scale remote sensing target detection,"Remote sensing targets have different dimensions, and they have the characteristics of dense distribution and a complex background. This makes remote sensing target detection …",https://www.mdpi.com/1424-8220/20/15/4276/pdf
DF-SSD: An improved SSD object detection algorithm based on DenseNet and feature fusion,"… Both ResNet [14] and DenseNet [15] have skip-connection, which satisfy this requirement. We design the feature extraction network DenseNet-S-32-1 based on the idea of DenseNet. …",https://ieeexplore.ieee.org/iel7/6287639/8948470/08978787.pdf
Uncertainty quantification in DenseNet model using myocardial infarction ECG signals,… DenseNet model training Hyperparameters and layers of the DenseNet model used in this study have been previously described [8] and are summarized in Table 1. The model was …,https://www.sciencedirect.com/science/article/am/pii/S0169260722006897
Channel-attention-based DenseNet network for remote sensing image scene classification,"… We propose a novel channel-attention-based DenseNet (CAD) network to better extract … In the channel domain, the channel attention mechanism is integrated into DenseNet. The cross …",https://ieeexplore.ieee.org/iel7/4609443/4609444/09141394.pdf
Deepcaps: Going deeper with capsule networks,"… In existing capsule networks and decoders, it is not possible to guarantee … capsule network architecture by leveraging two key ideas: Dynamic routing and Going deeper in the network. …",http://openaccess.thecvf.com/content_CVPR_2019/papers/Rajasegaran_DeepCaps_Going_Deeper_With_Capsule_Networks_CVPR_2019_paper.pdf
Self-routing capsule networks,"… , a new network architecture called capsule networks (… In this design of networks, each capsule contains a pose (or … Active capsules in one layer make pose predictions for capsules in …",https://proceedings.neurips.cc/paper_files/paper/2019/file/e46bc064f8e92ac2c404b9871b2a4ef2-Paper.pdf
3D point capsule networks,"… -capsule networks, an auto-encoder designed to process sparse 3D point clouds while preserving spatial arrangements of the input data. 3D capsule networks … by our capsule networks …",http://openaccess.thecvf.com/content_CVPR_2019/papers/Zhao_3D_Point_Capsule_Networks_CVPR_2019_paper.pdf
Capsule-forensics: Using capsule networks to detect forged images and videos,… The method introduced in this paper uses a capsule network to detect various kinds of … deep convolutional neural networks. It extends the application of capsule networks beyond their …,https://arxiv.org/pdf/1810.11215
Pushing the limits of capsule networks,Convolutional neural networks use pooling and other downscaling … deep networks. A team at Google Brain recently made news with an attempt to fix this problem: Capsule Networks. …,https://arxiv.org/pdf/2103.08074
Towards scalable and reliable capsule networks for challenging NLP applications,"… to have made capsule networks more suitable to large-scale problems and, hence, more mature for real-world applications. In the future, we plan to apply capsule networks to even …",https://arxiv.org/pdf/1906.02829
Path capsule networks,"… (CapsNet) was introduced as an enhancement over convolutional neural networks, … of the capsules. To address these limitations, we introduce Path Capsule Network (PathCapsNet), a …",https://arxiv.org/pdf/1902.03760
Efficient-capsnet: Capsule network with self-attention routing,"… networks and endow artificial visual perception with a process to encode more efficiently all feature affine transformations. Indeed, a properly working capsule network … capsule networks …",https://www.nature.com/articles/s41598-021-93977-0.pdf
Investigating the transferring capability of capsule networks for text classification,"… capsule networks outperform the compared models on 4 out of 6 datasets, suggesting the effectiveness of the capsule networks … cross-domain capsule network (TL-Capsule) by …",https://drive.google.com/file/d/1GA0ofwXUU5p341UATeN6DzRLyO54aEtm/view
Speech emotion recognition using capsule networks,"… features and introducing neural network methods, eg, convolutional neural networks (CNNs)… This paper presents a novel architecture based on the capsule networks (CapsNets) for SER…",https://www1.se.cuhk.edu.hk/~hccl/publications/pub/icassp2019_SER_Capsule_final.pdf
Improving the robustness of capsule networks to image affine transformations,"… Concretely, we propose to use the same transformation function for all primary capsules (ie, ensuring tj|i(·) ≡ tj|k(·)). We implement a robust affine capsule network (Aff-CapsNet) by …",https://openaccess.thecvf.com/content_CVPR_2020/papers/Gu_Improving_the_Robustness_of_Capsule_Networks_to_Image_Affine_Transformations_CVPR_2020_paper.pdf
Hierarchical multi-label classification of text with capsule networks,… can the capabilities of capsule networks be transferred and ap… we compare HMCadjusted capsule networks to several baseline neu… The main benefit of capsules is their ability to encode …,https://aclanthology.org/P19-2045.pdf
Diabetic retinopathy detection and classification using capsule networks,… The recent developments like capsule networks in … capsule network is developed for the detection and classification of diabetic retinopathy. Using the convolution and primary capsule …,https://link.springer.com/content/pdf/10.1007/s40747-021-00318-9.pdf
Comparative study of capsule neural network in various applications,"… especially for the tasks in computer vision, the capsule network have been designed as an … capsule network employed in the fault diagnosis enhances the accuracy of the classification …",https://www.researchgate.net/profile/T-Vijayakumar-2/publication/336466044_COMPARATIVE_STUDY_OF_CAPSULE_NEURAL_NETWORK_IN_VARIOUS_APPLICATIONS/links/6070127aa6fdcc5f7790b004/COMPARATIVE-STUDY-OF-CAPSULE-NEURAL-NETWORK-IN-VARIOUS-APPLICATIONS.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail
Capsule networks with max-min normalization,… Capsule Networks (CapsNets) have the potential to perform … -level capsules between adjacent layers in the network. Each … -level capsule should be assigned to a higher-level capsule. …,https://arxiv.org/pdf/1903.09662
Forecasting transportation network speed using deep capsule networks with nested LSTM models,… cated transportation networks is of vital importance to modern transportation management. … a new capsule network (CapsNet) to extract the spatial features of traffic networks and utilize …,https://arxiv.org/pdf/1811.04745
Star-caps: Capsule networks with straight-through attentive routing,"… Though a capsule network architecture has a fixed number of parameters, training and … To address the computational complexity of capsule networks, we replace the recurrent dynamic …",https://proceedings.neurips.cc/paper_files/paper/2019/file/cf040fc71060367913e81ac1eb050aea-Paper.pdf
Graph transformer networks,"… Here, we develop Graph Transformer Network (GTN) that learns to transform a … GTNs can be viewed as a graph analogue of Spatial Transformer Networks [16] which explicitly learn …",https://proceedings.neurips.cc/paper_files/paper/2019/file/9d63484abb477c97640154d40595a3bb-Paper.pdf
A generalization of transformer networks to graphs,… This work presented a simple yet effective approach to generalize transformer networks on arbitrary graphs and introduced the corresponding architecture. Our experiments consistently …,https://arxiv.org/pdf/2012.09699
Video transformer network,… transformer-based framework for video recognition. Inspired by recent developments in vision transformers… Our approach is generic and builds on top of any given 2D spatial network. In …,https://openaccess.thecvf.com/content/ICCV2021W/CVEU/papers/Neimark_Video_Transformer_Network_ICCVW_2021_paper.pdf
Transformer networks for trajectory forecasting,"… Here we argue that Transformer Networks … Transformer Networks [15], first to model sequences merely by attention mechanisms. Aside TF, we consider the Bidirectional Transformers …",https://ieeexplore.ieee.org/iel7/9411940/9411911/09412190.pdf
Contextual transformer networks for visual recognition,"… By directly replacing each 3Â3 convolution in a ResNet structure with CoT block, we present a new Contextual Transformer Networks (dubbed as CoTNet) for image representation …",https://ieeexplore.ieee.org/iel7/34/4359286/09747984.pdf
Video action transformer network,"… Our answer is a new video action recognition network, the Action Transformer, that uses a modified Transformer architecture as a ‘head’ to classify the action of a person of interest. It …",https://openaccess.thecvf.com/content_CVPR_2019/papers/Girdhar_Video_Action_Transformer_Network_CVPR_2019_paper.pdf
Spatial-temporal transformer networks for traffic flow forecasting,"… In this section, we introduce the proposed spatial-temporal transformer network. We first … Subsequently, we elaborate the proposed spatial transformer and temporal transformer in …",https://arxiv.org/pdf/2001.02908
Transformer networks of human conceptual knowledge.,… Our approach involves a pretrained transformer network that is further fine-tuned on large data sets of participant-generated feature norms. We show that such a model can successfully …,https://psycnet.apa.org/manuscript/2023-13379-001.pdf
Equivariant transformer networks,"… How can prior knowledge on the transformation invariances of a domain be incorporated into the architecture of a neural network? We propose Equivariant Transformers (ETs), a family …",http://proceedings.mlr.press/v97/tai19a/tai19a.pdf
Tranad: Deep transformer networks for anomaly detection in multivariate time series data,"… In this paper, we propose TranAD, a deep transformer network based anomaly detection and diagnosis model which uses attentionbased sequence encoders to swiftly perform …",https://arxiv.org/pdf/2201.07284
Variational transformer networks for layout generation,"… Our proposed Variational Transformer Network (VTN) is capable of learning margins, alignments and other global design rules without explicit supervision. Layouts sampled from our …",https://openaccess.thecvf.com/content/CVPR2021/papers/Arroyo_Variational_Transformer_Networks_for_Layout_Generation_CVPR_2021_paper.pdf
Neural speech synthesis with transformer network,"… recurrent neural networks (RNNs). Inspired by the success of Transformer network in neural … Using phoneme sequences as input, our Transformer TTS network generates mel spec…",https://ojs.aaai.org/index.php/AAAI/article/download/4642/4520
Kernel transformer networks for compact spherical convolution,"… accuracy—especially for deeper networks—due to an implicit … , we propose the Kernel Transformer Network (KTN). The … network (eg, increasing the footprint of a VGG network by only 25…",https://openaccess.thecvf.com/content_CVPR_2019/papers/Su_Kernel_Transformer_Networks_for_Compact_Spherical_Convolution_CVPR_2019_paper.pdf
The transformer network for the traveling salesman problem,"… of promising techniques where (graph) neural networks have been capable to learn new … In this work, we propose to adapt the recent successful Transformer architecture originally …",https://arxiv.org/pdf/2103.03012
Gated transformer networks for multivariate time series classification,"… of the current Transformer Networks with gating, named Gated Transformer Networks (GTN) … With the gating that merges two towers of Transformer which model the channel-wise and …",https://arxiv.org/pdf/2103.14438
Image-and-spatial transformer networks for structure-guided image registration,"… networks to learn representations, we introduce Image-and-Spatial Transformer Networks (ISTNs) where a dedicated Image Transformer Network (ITN) is added to the head of a Spatial …",https://arxiv.org/pdf/1907.09200
Team papelo: Transformer networks at FEVER,"… based on a transformer network. Transformer networks (Vaswani et al., 2017) are deep … Therefore, we run most later comparisons with extended ESIM or transformer networks as the …",https://arxiv.org/pdf/1901.02534
Point 4d transformer networks for spatio-temporal modeling in point cloud videos,"… a novel Point 4D Transformer Network (P4Transformer) to … transformer. Second, instead of grouping these embedded local areas with tracking [36], we propose to utilize the transformer …",http://openaccess.thecvf.com/content/CVPR2021/papers/Fan_Point_4D_Transformer_Networks_for_Spatio-Temporal_Modeling_in_Point_Cloud_CVPR_2021_paper.pdf
Medical image segmentation using transformer networks,"… PROPOSED NETWORK Our proposed transformer network for 3D medical image segmentation is shown in Figure 1. The input to our network is a 3D image block B ∈ IRW ×W ×W ×c, …",https://ieeexplore.ieee.org/iel7/6287639/6514899/09729189.pdf
Sign language recognition with transformer networks,"… In this work, we use a Long Short-Term Memory (LSTM) network as a baseline. We then present and compare three methods based on the transformer network architecture, that …",https://aclanthology.org/2020.lrec-1.737.pdf
Attention mechanisms in computer vision: A survey,"… attention mechanisms in computer vision and categorize them according to approach, such as channel attention, spatial attention, temporal attention, … for attention mechanism research. …",https://link.springer.com/content/pdf/10.1007/s41095-022-0271-y.pdf
Research progress in attention mechanism in deep learning,"… attention mechanism is then provided to a certain extent, and roles of attention mechanism … Finally, this survey identified the future direction and challenges of the attention mechanism. …",http://cje.ustb.edu.cn/en/article/pdf/preview/10.13374/j.issn2095-9389.2021.01.30.005.pdf
Attention branch network: Learning of attention mechanism for visual explanation,"… In this work, we propose Attention Branch Network (… attention mechanism. ABN can be applicable to several image recognition tasks by introducing a branch for the attention mechanism …",https://openaccess.thecvf.com/content_CVPR_2019/papers/Fukui_Attention_Branch_Network_Learning_of_Attention_Mechanism_for_Visual_Explanation_CVPR_2019_paper.pdf
An introductory survey on attention mechanisms in NLP problems,"… translation for automatic token alignment, attention mechanism, a simple method that can … and conduct an introductory summary of the attention mechanism in different NLP problems, …",https://arxiv.org/pdf/1811.05544
Attention mechanisms and their applications to complex systems,"… years, attention mechanisms have emerged as a promising solution to these problems. In this review, we describe the key aspects of attention mechanisms and some relevant attention …",https://www.mdpi.com/1099-4300/23/3/283/pdf
An empirical study of spatial attention mechanisms in deep networks,"… Towards disentangling the effects of different attention factors and mechanisms, … attention, in which various elements of attention mechanisms are ablated within a generalized attention …",https://openaccess.thecvf.com/content_ICCV_2019/papers/Zhu_An_Empirical_Study_of_Spatial_Attention_Mechanisms_in_Deep_Networks_ICCV_2019_paper.pdf
